Customer ID,Segment_Code_2010,Segment_Code_2011,Segment_2010_Name,Segment_2011_Name
12450,0.0,2.0,Low-Value,At-Risk 
12451,2.0,1.0,At-Risk ,High-Value Customer
12454,1.0,3.0,High-Value Customer,Loyal Customer
12455,2.0,3.0,At-Risk ,Loyal Customer
12456,,3.0,New Customer,Loyal Customer
12457,0.0,3.0,Low-Value,Loyal Customer
12458,0.0,2.0,Low-Value,At-Risk 
12463,,3.0,New Customer,Loyal Customer
12464,,1.0,New Customer,High-Value Customer
12468,2.0,2.0,At-Risk ,At-Risk 
12471,-1.0,-1.0,TOP VIP,TOP VIP
12472,1.0,1.0,High-Value Customer,High-Value Customer
12473,,3.0,New Customer,Loyal Customer
12474,1.0,-1.0,High-Value Customer,TOP VIP
12476,1.0,1.0,High-Value Customer,High-Value Customer
12477,2.0,1.0,At-Risk ,High-Value Customer
12480,2.0,3.0,At-Risk ,Loyal Customer
12481,1.0,1.0,High-Value Customer,High-Value Customer
12482,1.0,,High-Value Customer,Lost Customer
12483,1.0,1.0,High-Value Customer,High-Value Customer
12484,2.0,3.0,At-Risk ,Loyal Customer
12488,,0.0,New Customer,Low-Value
12490,1.0,1.0,High-Value Customer,High-Value Customer
12492,0.0,2.0,Low-Value,At-Risk 
12494,0.0,1.0,Low-Value,High-Value Customer
12497,2.0,2.0,At-Risk ,At-Risk 
12498,,0.0,New Customer,Low-Value
12500,2.0,1.0,At-Risk ,High-Value Customer
12502,,3.0,New Customer,Loyal Customer
12504,0.0,0.0,Low-Value,Low-Value
12507,0.0,3.0,Low-Value,Loyal Customer
12510,2.0,2.0,At-Risk ,At-Risk 
12516,2.0,3.0,At-Risk ,Loyal Customer
12517,,3.0,New Customer,Loyal Customer
12518,,1.0,New Customer,High-Value Customer
12520,,3.0,New Customer,Loyal Customer
12523,1.0,1.0,High-Value Customer,High-Value Customer
12524,1.0,1.0,High-Value Customer,High-Value Customer
12525,2.0,,At-Risk ,Lost Customer
12526,,0.0,New Customer,Low-Value
12527,0.0,2.0,Low-Value,At-Risk 
12528,,1.0,New Customer,High-Value Customer
12530,2.0,3.0,At-Risk ,Loyal Customer
12539,2.0,1.0,At-Risk ,High-Value Customer
12540,-1.0,-1.0,TOP VIP,TOP VIP
12541,,0.0,New Customer,Low-Value
12547,0.0,2.0,Low-Value,At-Risk 
12549,2.0,,At-Risk ,Lost Customer
12553,3.0,1.0,Loyal Customer,High-Value Customer
12557,2.0,1.0,At-Risk ,High-Value Customer
12562,3.0,1.0,Loyal Customer,High-Value Customer
12567,1.0,1.0,High-Value Customer,High-Value Customer
12569,,1.0,New Customer,High-Value Customer
12573,3.0,2.0,Loyal Customer,At-Risk 
12576,3.0,3.0,Loyal Customer,Loyal Customer
12577,3.0,0.0,Loyal Customer,Low-Value
12578,3.0,3.0,Loyal Customer,Loyal Customer
12582,2.0,2.0,At-Risk ,At-Risk 
12583,1.0,-1.0,High-Value Customer,TOP VIP
12584,,1.0,New Customer,High-Value Customer
12586,3.0,2.0,Loyal Customer,At-Risk 
12588,0.0,2.0,Low-Value,At-Risk 
12589,2.0,0.0,At-Risk ,Low-Value
12591,3.0,2.0,Loyal Customer,At-Risk 
12592,2.0,2.0,At-Risk ,At-Risk 
12593,,2.0,New Customer,At-Risk 
12594,1.0,1.0,High-Value Customer,High-Value Customer
12597,,1.0,New Customer,High-Value Customer
12598,2.0,1.0,At-Risk ,High-Value Customer
12599,1.0,1.0,High-Value Customer,High-Value Customer
12600,1.0,1.0,High-Value Customer,High-Value Customer
12601,0.0,3.0,Low-Value,Loyal Customer
12605,3.0,,Loyal Customer,Lost Customer
12609,1.0,3.0,High-Value Customer,Loyal Customer
12610,,3.0,New Customer,Loyal Customer
12613,1.0,3.0,High-Value Customer,Loyal Customer
12615,2.0,1.0,At-Risk ,High-Value Customer
12616,0.0,2.0,Low-Value,At-Risk 
12619,0.0,1.0,Low-Value,High-Value Customer
12620,,0.0,New Customer,Low-Value
12621,-1.0,-1.0,TOP VIP,TOP VIP
12623,2.0,2.0,At-Risk ,At-Risk 
12625,2.0,3.0,At-Risk ,Loyal Customer
12626,,1.0,New Customer,High-Value Customer
12627,,1.0,New Customer,High-Value Customer
12628,,0.0,New Customer,Low-Value
12631,2.0,2.0,At-Risk ,At-Risk 
12633,1.0,3.0,High-Value Customer,Loyal Customer
12635,3.0,3.0,Loyal Customer,Loyal Customer
12637,1.0,1.0,High-Value Customer,High-Value Customer
12639,0.0,2.0,Low-Value,At-Risk 
12640,,0.0,New Customer,Low-Value
12642,,0.0,New Customer,Low-Value
12643,1.0,3.0,High-Value Customer,Loyal Customer
12644,2.0,2.0,At-Risk ,At-Risk 
12645,2.0,3.0,At-Risk ,Loyal Customer
12647,-1.0,1.0,TOP VIP,High-Value Customer
12648,2.0,2.0,At-Risk ,At-Risk 
12649,1.0,3.0,High-Value Customer,Loyal Customer
12651,3.0,2.0,Loyal Customer,At-Risk 
12653,2.0,3.0,At-Risk ,Loyal Customer
12654,,0.0,New Customer,Low-Value
12656,2.0,1.0,At-Risk ,High-Value Customer
12657,,0.0,New Customer,Low-Value
12662,1.0,1.0,High-Value Customer,High-Value Customer
12664,2.0,1.0,At-Risk ,High-Value Customer
12665,0.0,2.0,Low-Value,At-Risk 
12668,1.0,1.0,High-Value Customer,High-Value Customer
12670,3.0,1.0,Loyal Customer,High-Value Customer
12673,0.0,0.0,Low-Value,Low-Value
12674,,3.0,New Customer,Loyal Customer
12676,2.0,1.0,At-Risk ,High-Value Customer
12678,1.0,1.0,High-Value Customer,High-Value Customer
12679,,3.0,New Customer,Loyal Customer
12680,,0.0,New Customer,Low-Value
12681,-1.0,-1.0,TOP VIP,TOP VIP
12682,-1.0,-1.0,TOP VIP,TOP VIP
12683,2.0,-1.0,At-Risk ,TOP VIP
12684,,1.0,New Customer,High-Value Customer
12685,,1.0,New Customer,High-Value Customer
12691,0.0,3.0,Low-Value,Loyal Customer
12693,3.0,3.0,Loyal Customer,Loyal Customer
12694,0.0,2.0,Low-Value,At-Risk 
12695,2.0,0.0,At-Risk ,Low-Value
12697,,0.0,New Customer,Low-Value
12700,,1.0,New Customer,High-Value Customer
12701,2.0,2.0,At-Risk ,At-Risk 
12703,2.0,2.0,At-Risk ,At-Risk 
12704,,1.0,New Customer,High-Value Customer
12705,1.0,1.0,High-Value Customer,High-Value Customer
12708,1.0,1.0,High-Value Customer,High-Value Customer
12709,-1.0,-1.0,TOP VIP,TOP VIP
12710,,3.0,New Customer,Loyal Customer
12712,1.0,1.0,High-Value Customer,High-Value Customer
12714,1.0,1.0,High-Value Customer,High-Value Customer
12717,0.0,2.0,Low-Value,At-Risk 
12720,2.0,-1.0,At-Risk ,TOP VIP
12721,3.0,1.0,Loyal Customer,High-Value Customer
12722,,3.0,New Customer,Loyal Customer
12723,,0.0,New Customer,Low-Value
12724,3.0,0.0,Loyal Customer,Low-Value
12725,2.0,2.0,At-Risk ,At-Risk 
12726,3.0,1.0,Loyal Customer,High-Value Customer
12727,2.0,1.0,At-Risk ,High-Value Customer
12728,0.0,3.0,Low-Value,Loyal Customer
12731,2.0,1.0,At-Risk ,High-Value Customer
12733,3.0,2.0,Loyal Customer,At-Risk 
12734,3.0,2.0,Loyal Customer,At-Risk 
12744,2.0,3.0,At-Risk ,Loyal Customer
12747,1.0,1.0,High-Value Customer,High-Value Customer
12748,-1.0,-1.0,TOP VIP,TOP VIP
12749,2.0,1.0,At-Risk ,High-Value Customer
12753,,1.0,New Customer,High-Value Customer
12754,,3.0,New Customer,Loyal Customer
12755,1.0,3.0,High-Value Customer,Loyal Customer
12757,,1.0,New Customer,High-Value Customer
12758,2.0,3.0,At-Risk ,Loyal Customer
12759,1.0,3.0,High-Value Customer,Loyal Customer
12765,2.0,,At-Risk ,Lost Customer
12766,3.0,1.0,Loyal Customer,High-Value Customer
12775,0.0,1.0,Low-Value,High-Value Customer
12778,3.0,0.0,Loyal Customer,Low-Value
12779,1.0,1.0,High-Value Customer,High-Value Customer
12782,1.0,1.0,High-Value Customer,High-Value Customer
12783,,0.0,New Customer,Low-Value
12785,0.0,2.0,Low-Value,At-Risk 
12787,0.0,0.0,Low-Value,Low-Value
12788,0.0,,Low-Value,Lost Customer
12789,0.0,2.0,Low-Value,At-Risk 
12791,3.0,2.0,Loyal Customer,At-Risk 
12793,0.0,2.0,Low-Value,At-Risk 
12798,0.0,1.0,Low-Value,High-Value Customer
12802,2.0,2.0,At-Risk ,At-Risk 
12805,3.0,,Loyal Customer,Lost Customer
12808,0.0,0.0,Low-Value,Low-Value
12809,2.0,2.0,At-Risk ,At-Risk 
12811,3.0,2.0,Loyal Customer,At-Risk 
12813,2.0,,At-Risk ,Lost Customer
12817,0.0,2.0,Low-Value,At-Risk 
12820,1.0,0.0,High-Value Customer,Low-Value
12823,1.0,3.0,High-Value Customer,Loyal Customer
12826,2.0,1.0,At-Risk ,High-Value Customer
12827,,0.0,New Customer,Low-Value
12828,,1.0,New Customer,High-Value Customer
12829,0.0,2.0,Low-Value,At-Risk 
12830,,1.0,New Customer,High-Value Customer
12831,0.0,2.0,Low-Value,At-Risk 
12835,1.0,,High-Value Customer,Lost Customer
12836,1.0,3.0,High-Value Customer,Loyal Customer
12838,1.0,2.0,High-Value Customer,At-Risk 
12839,1.0,-1.0,High-Value Customer,TOP VIP
12840,2.0,3.0,At-Risk ,Loyal Customer
12841,1.0,1.0,High-Value Customer,High-Value Customer
12842,0.0,3.0,Low-Value,Loyal Customer
12843,1.0,3.0,High-Value Customer,Loyal Customer
12844,0.0,2.0,Low-Value,At-Risk 
12845,,2.0,New Customer,At-Risk 
12849,3.0,0.0,Loyal Customer,Low-Value
12853,2.0,3.0,At-Risk ,Loyal Customer
12854,2.0,3.0,At-Risk ,Loyal Customer
12855,3.0,2.0,Loyal Customer,At-Risk 
12856,,1.0,New Customer,High-Value Customer
12857,2.0,3.0,At-Risk ,Loyal Customer
12863,1.0,2.0,High-Value Customer,At-Risk 
12865,3.0,0.0,Loyal Customer,Low-Value
12866,0.0,2.0,Low-Value,At-Risk 
12867,1.0,1.0,High-Value Customer,High-Value Customer
12868,3.0,3.0,Loyal Customer,Loyal Customer
12870,3.0,,Loyal Customer,Lost Customer
12871,0.0,2.0,Low-Value,At-Risk 
12872,1.0,2.0,High-Value Customer,At-Risk 
12873,2.0,2.0,At-Risk ,At-Risk 
12875,2.0,2.0,At-Risk ,At-Risk 
12876,3.0,3.0,Loyal Customer,Loyal Customer
12877,1.0,1.0,High-Value Customer,High-Value Customer
12879,,3.0,New Customer,Loyal Customer
12883,,0.0,New Customer,Low-Value
12885,,3.0,New Customer,Loyal Customer
12889,3.0,,Loyal Customer,Lost Customer
12891,2.0,2.0,At-Risk ,At-Risk 
12897,3.0,2.0,Loyal Customer,At-Risk 
12901,,-1.0,New Customer,TOP VIP
12906,,1.0,New Customer,High-Value Customer
12908,3.0,2.0,Loyal Customer,At-Risk 
12909,2.0,3.0,At-Risk ,Loyal Customer
12910,1.0,1.0,High-Value Customer,High-Value Customer
12912,,1.0,New Customer,High-Value Customer
12913,1.0,1.0,High-Value Customer,High-Value Customer
12915,0.0,2.0,Low-Value,At-Risk 
12916,2.0,3.0,At-Risk ,Loyal Customer
12917,1.0,2.0,High-Value Customer,At-Risk 
12919,,1.0,New Customer,High-Value Customer
12920,0.0,2.0,Low-Value,At-Risk 
12921,-1.0,-1.0,TOP VIP,TOP VIP
12923,3.0,2.0,Loyal Customer,At-Risk 
12924,1.0,3.0,High-Value Customer,Loyal Customer
12925,0.0,0.0,Low-Value,Low-Value
12926,2.0,,At-Risk ,Lost Customer
12928,1.0,3.0,High-Value Customer,Loyal Customer
12931,-1.0,-1.0,TOP VIP,TOP VIP
12932,2.0,,At-Risk ,Lost Customer
12933,3.0,0.0,Loyal Customer,Low-Value
12935,1.0,1.0,High-Value Customer,High-Value Customer
12936,,0.0,New Customer,Low-Value
12937,2.0,0.0,At-Risk ,Low-Value
12939,1.0,1.0,High-Value Customer,High-Value Customer
12942,,3.0,New Customer,Loyal Customer
12947,,3.0,New Customer,Loyal Customer
12948,0.0,1.0,Low-Value,High-Value Customer
12949,1.0,1.0,High-Value Customer,High-Value Customer
12950,,0.0,New Customer,Low-Value
12951,1.0,1.0,High-Value Customer,High-Value Customer
12952,,0.0,New Customer,Low-Value
12955,,1.0,New Customer,High-Value Customer
12956,0.0,2.0,Low-Value,At-Risk 
12957,2.0,1.0,At-Risk ,High-Value Customer
12960,2.0,,At-Risk ,Lost Customer
12963,2.0,1.0,At-Risk ,High-Value Customer
12967,3.0,3.0,Loyal Customer,Loyal Customer
12970,1.0,0.0,High-Value Customer,Low-Value
12971,1.0,-1.0,High-Value Customer,TOP VIP
12972,2.0,,At-Risk ,Lost Customer
12975,2.0,,At-Risk ,Lost Customer
12976,1.0,2.0,High-Value Customer,At-Risk 
12977,0.0,2.0,Low-Value,At-Risk 
12978,1.0,,High-Value Customer,Lost Customer
12980,1.0,3.0,High-Value Customer,Loyal Customer
12982,1.0,2.0,High-Value Customer,At-Risk 
12986,1.0,,High-Value Customer,Lost Customer
12987,2.0,2.0,At-Risk ,At-Risk 
12989,1.0,-1.0,High-Value Customer,TOP VIP
12990,2.0,0.0,At-Risk ,Low-Value
12991,0.0,0.0,Low-Value,Low-Value
12993,2.0,0.0,At-Risk ,Low-Value
12994,,0.0,New Customer,Low-Value
12997,3.0,0.0,Loyal Customer,Low-Value
12998,2.0,,At-Risk ,Lost Customer
12999,,2.0,New Customer,At-Risk 
13000,0.0,2.0,Low-Value,At-Risk 
13001,-1.0,-1.0,TOP VIP,TOP VIP
13002,0.0,2.0,Low-Value,At-Risk 
13003,,2.0,New Customer,At-Risk 
13004,-1.0,-1.0,TOP VIP,TOP VIP
13005,0.0,2.0,Low-Value,At-Risk 
13008,0.0,2.0,Low-Value,At-Risk 
13012,2.0,1.0,At-Risk ,High-Value Customer
13013,-1.0,1.0,TOP VIP,High-Value Customer
13014,2.0,1.0,At-Risk ,High-Value Customer
13015,2.0,3.0,At-Risk ,Loyal Customer
13016,,3.0,New Customer,Loyal Customer
13018,1.0,-1.0,High-Value Customer,TOP VIP
13019,1.0,,High-Value Customer,Lost Customer
13021,1.0,1.0,High-Value Customer,High-Value Customer
13023,0.0,2.0,Low-Value,At-Risk 
13026,2.0,0.0,At-Risk ,Low-Value
13027,1.0,3.0,High-Value Customer,Loyal Customer
13029,3.0,3.0,Loyal Customer,Loyal Customer
13031,2.0,,At-Risk ,Lost Customer
13032,1.0,3.0,High-Value Customer,Loyal Customer
13034,0.0,2.0,Low-Value,At-Risk 
13035,0.0,3.0,Low-Value,Loyal Customer
13037,1.0,3.0,High-Value Customer,Loyal Customer
13038,,3.0,New Customer,Loyal Customer
13039,2.0,,At-Risk ,Lost Customer
13041,2.0,,At-Risk ,Lost Customer
13042,2.0,,At-Risk ,Lost Customer
13044,2.0,2.0,At-Risk ,At-Risk 
13045,0.0,2.0,Low-Value,At-Risk 
13046,0.0,0.0,Low-Value,Low-Value
13047,1.0,1.0,High-Value Customer,High-Value Customer
13048,2.0,0.0,At-Risk ,Low-Value
13049,3.0,2.0,Loyal Customer,At-Risk 
13050,-1.0,-1.0,TOP VIP,TOP VIP
13052,2.0,2.0,At-Risk ,At-Risk 
13055,0.0,3.0,Low-Value,Loyal Customer
13057,2.0,,At-Risk ,Lost Customer
13058,,0.0,New Customer,Low-Value
13059,1.0,2.0,High-Value Customer,At-Risk 
13064,0.0,0.0,Low-Value,Low-Value
13065,3.0,2.0,Loyal Customer,At-Risk 
13067,0.0,2.0,Low-Value,At-Risk 
13069,1.0,1.0,High-Value Customer,High-Value Customer
13070,0.0,2.0,Low-Value,At-Risk 
13074,2.0,,At-Risk ,Lost Customer
13077,1.0,0.0,High-Value Customer,Low-Value
13078,-1.0,-1.0,TOP VIP,TOP VIP
13079,0.0,0.0,Low-Value,Low-Value
13080,0.0,2.0,Low-Value,At-Risk 
13081,-1.0,1.0,TOP VIP,High-Value Customer
13082,1.0,3.0,High-Value Customer,Loyal Customer
13083,0.0,0.0,Low-Value,Low-Value
13085,2.0,2.0,At-Risk ,At-Risk 
13089,-1.0,-1.0,TOP VIP,TOP VIP
13090,1.0,-1.0,High-Value Customer,TOP VIP
13092,2.0,3.0,At-Risk ,Loyal Customer
13093,-1.0,3.0,TOP VIP,Loyal Customer
13094,0.0,1.0,Low-Value,High-Value Customer
13097,-1.0,1.0,TOP VIP,High-Value Customer
13098,,-1.0,New Customer,TOP VIP
13101,2.0,2.0,At-Risk ,At-Risk 
13102,1.0,-1.0,High-Value Customer,TOP VIP
13103,0.0,2.0,Low-Value,At-Risk 
13104,0.0,1.0,Low-Value,High-Value Customer
13107,2.0,3.0,At-Risk ,Loyal Customer
13109,0.0,2.0,Low-Value,At-Risk 
13110,2.0,1.0,At-Risk ,High-Value Customer
13113,1.0,-1.0,High-Value Customer,TOP VIP
13115,1.0,1.0,High-Value Customer,High-Value Customer
13117,1.0,1.0,High-Value Customer,High-Value Customer
13118,3.0,0.0,Loyal Customer,Low-Value
13124,3.0,3.0,Loyal Customer,Loyal Customer
13126,2.0,1.0,At-Risk ,High-Value Customer
13131,2.0,0.0,At-Risk ,Low-Value
13133,0.0,2.0,Low-Value,At-Risk 
13134,0.0,3.0,Low-Value,Loyal Customer
13136,1.0,3.0,High-Value Customer,Loyal Customer
13137,1.0,1.0,High-Value Customer,High-Value Customer
13138,0.0,1.0,Low-Value,High-Value Customer
13139,2.0,1.0,At-Risk ,High-Value Customer
13140,0.0,2.0,Low-Value,At-Risk 
13141,1.0,3.0,High-Value Customer,Loyal Customer
13145,0.0,3.0,Low-Value,Loyal Customer
13147,,0.0,New Customer,Low-Value
13148,1.0,1.0,High-Value Customer,High-Value Customer
13149,,0.0,New Customer,Low-Value
13150,0.0,,Low-Value,Lost Customer
13151,2.0,2.0,At-Risk ,At-Risk 
13152,2.0,,At-Risk ,Lost Customer
13154,2.0,,At-Risk ,Lost Customer
13155,0.0,3.0,Low-Value,Loyal Customer
13156,3.0,,Loyal Customer,Lost Customer
13157,2.0,3.0,At-Risk ,Loyal Customer
13158,0.0,3.0,Low-Value,Loyal Customer
13159,,0.0,New Customer,Low-Value
13162,1.0,3.0,High-Value Customer,Loyal Customer
13165,0.0,3.0,Low-Value,Loyal Customer
13167,0.0,0.0,Low-Value,Low-Value
13168,0.0,3.0,Low-Value,Loyal Customer
13169,0.0,2.0,Low-Value,At-Risk 
13171,,0.0,New Customer,Low-Value
13173,2.0,0.0,At-Risk ,Low-Value
13174,1.0,0.0,High-Value Customer,Low-Value
13178,1.0,1.0,High-Value Customer,High-Value Customer
13183,1.0,1.0,High-Value Customer,High-Value Customer
13184,,1.0,New Customer,High-Value Customer
13186,,3.0,New Customer,Loyal Customer
13187,0.0,2.0,Low-Value,At-Risk 
13190,2.0,,At-Risk ,Lost Customer
13192,2.0,3.0,At-Risk ,Loyal Customer
13196,2.0,0.0,At-Risk ,Low-Value
13198,3.0,1.0,Loyal Customer,High-Value Customer
13199,-1.0,-1.0,TOP VIP,TOP VIP
13200,,0.0,New Customer,Low-Value
13201,2.0,,At-Risk ,Lost Customer
13202,1.0,,High-Value Customer,Lost Customer
13203,1.0,0.0,High-Value Customer,Low-Value
13206,1.0,,High-Value Customer,Lost Customer
13207,0.0,0.0,Low-Value,Low-Value
13208,2.0,3.0,At-Risk ,Loyal Customer
13209,2.0,1.0,At-Risk ,High-Value Customer
13211,1.0,0.0,High-Value Customer,Low-Value
13212,,0.0,New Customer,Low-Value
13213,1.0,3.0,High-Value Customer,Loyal Customer
13214,1.0,,High-Value Customer,Lost Customer
13217,0.0,2.0,Low-Value,At-Risk 
13220,0.0,3.0,Low-Value,Loyal Customer
13223,2.0,2.0,At-Risk ,At-Risk 
13225,1.0,1.0,High-Value Customer,High-Value Customer
13230,1.0,1.0,High-Value Customer,High-Value Customer
13232,,1.0,New Customer,High-Value Customer
13233,0.0,2.0,Low-Value,At-Risk 
13238,0.0,0.0,Low-Value,Low-Value
13239,2.0,2.0,At-Risk ,At-Risk 
13240,2.0,3.0,At-Risk ,Loyal Customer
13242,0.0,2.0,Low-Value,At-Risk 
13243,2.0,2.0,At-Risk ,At-Risk 
13246,2.0,1.0,At-Risk ,High-Value Customer
13247,,0.0,New Customer,Low-Value
13249,2.0,3.0,At-Risk ,Loyal Customer
13253,2.0,3.0,At-Risk ,Loyal Customer
13255,0.0,0.0,Low-Value,Low-Value
13258,3.0,0.0,Loyal Customer,Low-Value
13259,1.0,2.0,High-Value Customer,At-Risk 
13262,0.0,2.0,Low-Value,At-Risk 
13263,2.0,-1.0,At-Risk ,TOP VIP
13265,,3.0,New Customer,Loyal Customer
13266,1.0,1.0,High-Value Customer,High-Value Customer
13267,1.0,1.0,High-Value Customer,High-Value Customer
13268,,1.0,New Customer,High-Value Customer
13269,1.0,-1.0,High-Value Customer,TOP VIP
13276,2.0,2.0,At-Risk ,At-Risk 
13277,3.0,0.0,Loyal Customer,Low-Value
13278,2.0,2.0,At-Risk ,At-Risk 
13280,3.0,3.0,Loyal Customer,Loyal Customer
13282,0.0,0.0,Low-Value,Low-Value
13283,0.0,2.0,Low-Value,At-Risk 
13285,0.0,1.0,Low-Value,High-Value Customer
13287,2.0,,At-Risk ,Lost Customer
13288,2.0,,At-Risk ,Lost Customer
13291,1.0,2.0,High-Value Customer,At-Risk 
13292,0.0,2.0,Low-Value,At-Risk 
13293,1.0,,High-Value Customer,Lost Customer
13294,0.0,2.0,Low-Value,At-Risk 
13295,3.0,2.0,Loyal Customer,At-Risk 
13296,2.0,2.0,At-Risk ,At-Risk 
13297,3.0,1.0,Loyal Customer,High-Value Customer
13299,2.0,2.0,At-Risk ,At-Risk 
13300,3.0,2.0,Loyal Customer,At-Risk 
13301,,3.0,New Customer,Loyal Customer
13304,2.0,2.0,At-Risk ,At-Risk 
13305,1.0,1.0,High-Value Customer,High-Value Customer
13307,0.0,2.0,Low-Value,At-Risk 
13308,0.0,0.0,Low-Value,Low-Value
13309,0.0,1.0,Low-Value,High-Value Customer
13310,3.0,3.0,Loyal Customer,Loyal Customer
13313,2.0,1.0,At-Risk ,High-Value Customer
13314,,0.0,New Customer,Low-Value
13316,1.0,3.0,High-Value Customer,Loyal Customer
13317,1.0,3.0,High-Value Customer,Loyal Customer
13318,,0.0,New Customer,Low-Value
13319,-1.0,-1.0,TOP VIP,TOP VIP
13320,0.0,3.0,Low-Value,Loyal Customer
13323,,0.0,New Customer,Low-Value
13324,1.0,1.0,High-Value Customer,High-Value Customer
13327,1.0,1.0,High-Value Customer,High-Value Customer
13329,1.0,0.0,High-Value Customer,Low-Value
13330,2.0,3.0,At-Risk ,Loyal Customer
13333,2.0,,At-Risk ,Lost Customer
13334,2.0,3.0,At-Risk ,Loyal Customer
13338,2.0,2.0,At-Risk ,At-Risk 
13340,1.0,1.0,High-Value Customer,High-Value Customer
13344,,3.0,New Customer,Loyal Customer
13346,2.0,,At-Risk ,Lost Customer
13357,2.0,2.0,At-Risk ,At-Risk 
13360,2.0,,At-Risk ,Lost Customer
13362,3.0,1.0,Loyal Customer,High-Value Customer
13363,0.0,0.0,Low-Value,Low-Value
13368,0.0,2.0,Low-Value,At-Risk 
13373,2.0,3.0,At-Risk ,Loyal Customer
13376,,3.0,New Customer,Loyal Customer
13379,,0.0,New Customer,Low-Value
13381,1.0,1.0,High-Value Customer,High-Value Customer
13382,2.0,2.0,At-Risk ,At-Risk 
13384,1.0,1.0,High-Value Customer,High-Value Customer
13388,0.0,2.0,Low-Value,At-Risk 
13389,,0.0,New Customer,Low-Value
13393,2.0,,At-Risk ,Lost Customer
13394,1.0,1.0,High-Value Customer,High-Value Customer
13395,0.0,2.0,Low-Value,At-Risk 
13397,2.0,3.0,At-Risk ,Loyal Customer
13399,0.0,,Low-Value,Lost Customer
13402,0.0,2.0,Low-Value,At-Risk 
13403,0.0,2.0,Low-Value,At-Risk 
13405,2.0,2.0,At-Risk ,At-Risk 
13407,2.0,,At-Risk ,Lost Customer
13408,-1.0,-1.0,TOP VIP,TOP VIP
13410,2.0,0.0,At-Risk ,Low-Value
13413,2.0,,At-Risk ,Lost Customer
13414,2.0,3.0,At-Risk ,Loyal Customer
13415,2.0,,At-Risk ,Lost Customer
13416,0.0,2.0,Low-Value,At-Risk 
13417,2.0,0.0,At-Risk ,Low-Value
13418,1.0,-1.0,High-Value Customer,TOP VIP
13421,2.0,3.0,At-Risk ,Loyal Customer
13425,2.0,3.0,At-Risk ,Loyal Customer
13426,1.0,1.0,High-Value Customer,High-Value Customer
13427,0.0,0.0,Low-Value,Low-Value
13428,0.0,2.0,Low-Value,At-Risk 
13429,,0.0,New Customer,Low-Value
13431,2.0,3.0,At-Risk ,Loyal Customer
13433,2.0,,At-Risk ,Lost Customer
13434,3.0,2.0,Loyal Customer,At-Risk 
13435,3.0,1.0,Loyal Customer,High-Value Customer
